club name,club description,club sponsor,club email,club recognition_year
3D Printing and Additive Manufacturing Club (Previously Known as Three-Dimensional Printing and Fabrication Club at Oregon State University),"Interested in 3D printing? Want to make something of your own? No problem. We are a laid-back group of students working on projects to engage the community, utilize new technology, and keep up-to-date on the changing world around us. Come to a meeting and see for your self.","Sponsored Student Organization sponsored by Mechanical, Industrial, & Manufacturing Engineering and College of Business",3dprinting.clubs@oregonstate.edu,Recognized For: 2023/2024
Acacia Fraternity,Social Fraternity,"Affiliated Student Organization, Center for Fraternity & Sorority Life",acacia.clubs@oregonstate.edu,Recognized For: 2023/2024
Actuarial Science Club,"The Actuarial Science Club strives to help students learn about the actuarial field, connect with actuaries, and find employment. Actuarial science is the field that applies mathematical, and statistical models to asses risk in a variety of subjects.","Voluntary Student Organization, Student Experiences & Engagement",ActuarialScience.clubs@oregonstate.edu,Recognized For: 2023/2024
Adaptive Technology Engineering Network,Our Mission - We at ATEN (the Adaptive Technology Engineering Network) strive to be an interchange between engineering and disability. Our club welcomes students from all colleges and majors who aspire to provide practical and personal solutions to real-world problems encountered by the people of our community.,"Sponsored Student Organization sponsored by Mechanical, Industrial, & Manufacturing Engineering",ATEN.clubs@oregonstate.edu,Recognized For: 2023/2024
African Student Association,"The purpose of this organization is to foster close and friendly relationships among African students of the diaspora and OSU. In addition, this organization aims to promote better understanding between the OSU community and Africans of the Diaspora. ASA is meant to serve and educate the Oregon State community about African history, traditions, customs, and happenings as well as joining those students of either African descent or from the various countries of Africa to come together to create a home away from home.","Index Negative Balance , Student Experiences & Engagement",ASA.clubs@oregonstate.edu,Recognized For: 2023/2024
Agribusiness Management Club,"To discover, share, and distribute knowledge of integrated/unified agricultural business systems to students with an agricultural interest.","Voluntary Student Organization, Student Experiences & Engagement",agribusiness.clubs@oregonstate.edu,Recognized For: 2023/2024
Agricultural Animal Club,The purpose of this association is to encourage the involvement of future veterinarians in agriculturally related careers.,Sponsored Student Organization sponsored by CVM - College of Veterinary Medicine,AgriculturalAnimal.clubs@oregonstate.edu,Recognized For: 2023/2024
Agricultural Communicators of Tomorrow,"ACT mission's statement is to build relationships among agricultural communication professionals and college students and faculty, to provide professional and academic development for members and to promote agriculture through communications efforts.",Sponsored Student Organization sponsored by Agricultural Education and Agricultural Sciences,ag.communicators.clubs@oregonstate.edu,Recognized For: 2023/2024
Album Club at OSU,"The purpose of Album Club is to explore and discuss music history, impact, and enjoyment through community meetings. We will assign an Album of The Month (similarly to a book club), allowing members to listen on their own time before we all meet to discuss the album and play snippets of songs to learn about their history, meaning, and impact, as well as share personal feelings and observations about the music.","Voluntary Student Organization, Student Experiences & Engagement",album.clubs@oregonsatate.edu,Recognized For: 2023/2024
All University Sing,The purpose of All-University Sing is to build community and provide opportunities for leadership development by bringing together recognized student organizations at Oregon State University in the production of an annual song and dance performance.,"Voluntary Student Organization, Student Experiences & Engagement",AllUniversitySing.clubs@oregonstate.edu,Recognized For: 2023/2024
